from,to,relation
MTV2,HD,1
AA,ET,1
AA,JL,1
AK,IV,1
BV,MP,1
B,SL,1
BA,KR,1
BKS,JN,1
BS,MP,1
BSP,LB,1
BSP,HK,1
BSP,HD,1
BSP,LG,1
CL,IV,1
CSM,IV,1
CVB,MP,1
DIT,MP,1
DSC,MP,1
MTVJ,LG,1
EA,JL,1
EA,ET,1
FVT,LB,1
GH,MP,1
GO,JN,1
HL,RK,1
IF,IV,1
IC,SL,1
K,RK,1
KS,JN,1
KA,SL,1
LA,ET,1
LV,MT,1
LPK,RK,1
LPV,RK,1
LBM,KR,1
KBM,RK,1
OS,HK,1
PSU,SL,1
RC,MT,1
RC,IV,1
RRV,IV,1
STM,MP,1
Set,JL,1
SAP,MT,1
SMS,JN,1
SP,RK,1
TTP,JL,1
TTP,ET,1
UA,KR,1
USC,JL,1
VCM,MT,1
VCS,HJ,1
VCO,LB,1
VfBT,HJ,1
VfBU,HK,1
VC,MT,1
VZ,MT,1
ET,NLD,2
HD,GER,2
HJ,NLD,2
HK,GER,2
IV,BEL,2
JL,NLD,2
JN,POL,2
KR,USA,2
LB,GER,2
LG,GER,2
MP,ESP,2
MT,BUL,2
RK,FIN,2
SL,USA,2